"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";"Characteristics:Назначение кожи";"Characteristics:Тип сырья";"Characteristics:Вид кожи";"Characteristics:Минимальный заказ";Characteristics:Цвет;Characteristics:Особенности;Characteristics:Сорт;"Characteristics:Размер шкур";"Characteristics:Толщина (мм)";"Characteristics:Страна производства";"Characteristics:Вид покрытия";"Characteristics:Тип молнии";"Characteristics:Вид соединения";"Characteristics:Цвет тесьмы";"Characteristics:Цвет металла";Characteristics:Длина;"Characteristics:Происхождение сырья";Characteristics:Диаметр;Weight;Length;Width;Height;Unit;Portion;Url
540923902832;;;;;"Дубленочный материал Кёрли ""Orange"" - дм2 - Оттенок оранжевого";;;;0.75;;1.07;"Единица измерения:дм2;Оттенок цвета:Оттенок оранжевого #ff780a";;h3pxi74AJtGuTVfHoM9t;717437155312;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/dublyonka/tproduct/717437155312-dublenochnii-material-kyorli-orange?editionuid=540923902832
591656199972;;;;"Дубленочный;Дубленка / Керли";"Дубленочный материал Кёрли ""Visky""";;;https://static.tildacdn.com/stor3938-3232-4637-b062-386133356465/30788000.jpg;;;;"product_options:[{""title"":""Единица измерения"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}},{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;t5mP1IGjkbsIk7HFJMyD;;Одежная;Овчина;Дубленка;;Коричневый;;;"6-7 фут2";;;;;;;;;Турция;;0;0;0;0;FOT;1;https://ozelifkoja.ru/dublyonka/tproduct/591656199972-dublenochnii-material-kyorli-visky
369286585952;;;;;"Дубленочный материал Кёрли ""Visky"" - Оттенок коричневого";;;;13.00;;;"Единица измерения:;Оттенок цвета:Оттенок коричневого #6e3b12";;3nAvvgEbsKmYV8bnVPVi;591656199972;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/dublyonka/tproduct/591656199972-dublenochnii-material-kyorli-visky?editionuid=369286585952
361730800122;;;;;"Дубленочный материал Кёрли ""Visky"" - Оттенок коричневого";;;;1.40;;;"Единица измерения:;Оттенок цвета:Оттенок коричневого #6e3b12";;kRTOB8aRRsfO2CxTf0cZ;591656199972;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/dublyonka/tproduct/591656199972-dublenochnii-material-kyorli-visky?editionuid=361730800122
633952839272;;;;"Дубленочный;Дубленка / Керли";"Дубленочный материал Кёрли ""Vintage Visky""";;;https://static.tildacdn.com/stor6439-6265-4362-b061-653234373430/62029928.jpg;;;;"product_options:[{""title"":""Единица измерения"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}},{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;4cyykfHTAhmvgDamnTa5;;Одежная;Овчина;Дубленка;;Коричневый;;;"5-6 фут2";;;;;;;;;Турция;;0;0;0;0;FOT;1;https://ozelifkoja.ru/dublyonka/tproduct/633952839272-dublenochnii-material-kyorli-vintage-vis
772292421822;;;;;"Дубленочный материал Кёрли ""Vintage Visky"" - фут2 - Оттенок коричневого";;;;7.00;;;"Единица измерения:фут2;Оттенок цвета:Оттенок коричневого #6e3b12";;JM5FnKP62ioCPxNpS6oL;633952839272;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/dublyonka/tproduct/633952839272-dublenochnii-material-kyorli-vintage-vis?editionuid=772292421822
914826542992;;;;;"Дубленочный материал Кёрли ""Vintage Visky"" - дм2 - Оттенок коричневого";;;;0.75;;;"Единица измерения:дм2;Оттенок цвета:Оттенок коричневого #6e3b12";;in03OEONxZp3aaFh1e7C;633952839272;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/dublyonka/tproduct/633952839272-dublenochnii-material-kyorli-vintage-vis?editionuid=914826542992
893838431702;;;;"Дубленочный;Дубленка / Меринилло";"Дубленочный материал Меринилло ""Brown""";;;https://static.tildacdn.com/stor6639-6430-4161-b539-643862663663/15655624.jpg;;;;"product_options:[{""title"":""Единица измерения"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}},{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;ZRuuikNg3dvFLdMizRMY;;Одежная;Овчина;Дубленка;;Коричневый;;;"4-5 фут2";;;;;;;;;Испания;;0;0;0;0;FOT;1;https://ozelifkoja.ru/dublyonka/tproduct/893838431702-dublenochnii-material-merinillo-brown
478163810362;;;;;"Дубленочный материал Меринилло ""Brown"" - фут2 - Оттенок коричневого";;;;10.00;;;"Единица измерения:фут2;Оттенок цвета:Оттенок коричневого #6e3b12";;XKs8BJj39NCdj8L40HDA;893838431702;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/dublyonka/tproduct/893838431702-dublenochnii-material-merinillo-brown?editionuid=478163810362
932215676702;;;;;"Дубленочный материал Меринилло ""Brown"" - дм2 - Оттенок коричневого";;;;1.07;;;"Единица измерения:дм2;Оттенок цвета:Оттенок коричневого #6e3b12";;Mhvszhm3X1MUBJNOrKGp;893838431702;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/dublyonka/tproduct/893838431702-dublenochnii-material-merinillo-brown?editionuid=932215676702
